playlist_name,playlist_last_modified,added_date,track_name,artist_name,album_name,track_uri,track_key
Sensual,2026-06-20,2026-06-20,Bad (feat. Rihanna) - Remix,Wale,The Gifted,spotify:track:5yhKaacMZGRo4s6evJx9vk,wale - bad (feat. rihanna) - remix
Sensual,2026-06-20,2026-06-20,M.O.T.O,X.O,M.O.T.O,spotify:track:13RrmTzCsknCAV7jb1hPnx,x.o - m.o.t.o
Sensual,2026-06-20,2026-06-20,BIRTHDAY DANCE (BONUS),Josh Levi,HYDRAULIC,spotify:track:7Bhwq9N1SH4SysU9wPKUG9,josh levi - birthday dance (bonus)
Sensual,2026-06-20,2026-06-20,DISCONNECTED,Chase Atlantic,LOST IN HEAVEN,spotify:track:2KemQ0cHDFOV2nbMVMC0UG,chase atlantic - disconnected
Sensual,2026-06-20,2026-06-20,This Is,Ella Mai,Heart On My Sleeve,spotify:track:3pdUv2fviypOdl1PTHDunH,ella mai - this is
Sensual,2026-06-20,2026-06-20,She Got Me,Sowan,She Got Me,spotify:track:28Qkb7jJQJUY6PBBjzHwzN,sowan - she got me
Sensual,2026-06-20,2026-06-20,With You in the Morning,Carl Storm,Learning from mistakes,spotify:track:5aWDkpkRc8zGZs8f41BXhH,carl storm - with you in the morning
Sensual,2026-06-20,2026-06-20,Wicked Games - Sped Up,Kiana Ledé,Wicked Games,spotify:track:2gD25C4hWZoQeGNlfqCAK2,kiana ledé - wicked games - sped up
Sensual,2026-06-20,2026-06-20,next door (feat. ASTN),Amelia Moore,next door (feat. ASTN),spotify:track:08HGey7e94Ez3ZurG1IXTP,amelia moore - next door (feat. astn)
Sensual,2026-06-20,2026-06-20,Sure Thing,Miguel,All I Want Is You,spotify:track:0JXXNGljqupsJaZsgSbMZV,miguel - sure thing
Sensual,2026-06-20,2026-06-20,No Guidance,Ayzha Nyree,No Guidance,spotify:track:27YDNS5SXjXQpGir8g0ilW,ayzha nyree - no guidance
Sensual,2026-06-20,2026-06-20,Girls Need Love,Summer Walker,Last Day Of Summer,spotify:track:644rGY6maSElnKVsAg1gJj,summer walker - girls need love
Sensual,2026-06-20,2026-06-20,Girls Need Love (with Drake) - Remix,Summer Walker,Last Day Of Summer,spotify:track:14SaZBTjxlorHJQxXh01Hu,summer walker - girls need love (with drake) - remix
Sensual,2026-06-20,2026-06-20,Slow Motion,AMARIA BB,Slow Motion,spotify:track:2pN5GwdTWbFZNRgFIRlW7J,amaria bb - slow motion
Sensual,2026-06-20,2026-06-20,Drugs & Money - New Mix,Chase Atlantic,Chase Atlantic,spotify:track:4SRyrhBJ5mq8fEa3bsdZn6,chase atlantic - drugs & money - new mix
